code,title,assignee,priority,epico,project_item_id,draft_issue_id,status_set,priority_set,epico_set,assignee_set,error
TASK 1.1,[TEST][BE] TASK 1.1 — Testar cadastro de RG com 9 e 10 dígitos,Ludelll,CRÍTICA,Gestão de Usuários e Segurança,PVTI_lADOCN1Q084BEMaIzgtFoOs,DI_lADOCN1Q084BEMaIzgKgmlM,Todo,P0,Gestão de Usuários e Segurança,Ludelll,
TASK 1.2,[TEST][FE] TASK 1.2 — Testar popup do Calendly fechado sem agendar,Ludelll,ALTA,Sistema de Agendamento,PVTI_lADOCN1Q084BEMaIzgtFoP8,DI_lADOCN1Q084BEMaIzgKgmlQ,Todo,P1,Sistema de Agendamento,Ludelll,
TASK 1.3,[TEST] TASK 1.3 — Testar feature de alterar senha,Ludelll,ALTA,Gestão de Usuários e Segurança,PVTI_lADOCN1Q084BEMaIzgtFoSA,DI_lADOCN1Q084BEMaIzgKgmlY,Todo,P1,Gestão de Usuários e Segurança,Ludelll,
TASK 1.4,[BE] TASK 1.4 — Investigar caracteres estranhos em produto importado em lote,C-Icaro,ALTA,Painel Administrativo,PVTI_lADOCN1Q084BEMaIzgtFoUE,DI_lADOCN1Q084BEMaIzgKgmlg,Todo,P1,Painel Administrativo,C-Icaro,
TASK 1.5,[BE][FE] TASK 1.5 — Testar Docusign com comprador e consultor de mesmo email,C-Icaro,ALTA,Integração com Assinatura Eletrônica,PVTI_lADOCN1Q084BEMaIzgtFoVw,DI_lADOCN1Q084BEMaIzgKgmlo,Todo,P1,Integração com Assinatura Eletrônica,C-Icaro,
TASK 1.6,[TEST][FE][BE] TASK 1.6 — Testar fluxo completo do assessor (consultor),C-Icaro,CRÍTICA,Portal do Assessor,PVTI_lADOCN1Q084BEMaIzgtFoXs,DI_lADOCN1Q084BEMaIzgKgmls,Todo,P0,Portal do Assessor,C-Icaro,
TASK 1.7,[BUGFIX] TASK 1.7 — Pool de fixes derivados das TASK 1.1–1.5 (meta-task),Messias-Olivindo,CRÍTICA,Gestão de Processos de Venda,PVTI_lADOCN1Q084BEMaIzgtFoZo,DI_lADOCN1Q084BEMaIzgKgmlw,Todo,P0,Gestão de Processos de Venda,Messias-Olivindo,
TASK 1.12,[SPIKE] TASK 1.12 — Estudo de custos e implementação do Jitsi,Messias-Olivindo,ALTA,Sistema de Agendamento,PVTI_lADOCN1Q084BEMaIzgtFobo,DI_lADOCN1Q084BEMaIzgKgml0,Todo,P1,Sistema de Agendamento,Messias-Olivindo,
TASK 2.1,[BE] TASK 2.1 — Modelar identidade visual por escritório (backend),C-Icaro,ALTA,Painel Administrativo,PVTI_lADOCN1Q084BEMaIzgtFoeY,DI_lADOCN1Q084BEMaIzgKgml8,Todo,P1,Painel Administrativo,C-Icaro,
TASK 2.2,[FE] TASK 2.2 — Aplicar identidade visual no header e sidebar (frontend),C-Icaro,ALTA,Painel Administrativo,PVTI_lADOCN1Q084BEMaIzgtFogI,DI_lADOCN1Q084BEMaIzgKgmmA,Todo,P1,Painel Administrativo,C-Icaro,
TASK 2.3,[BE][FE] TASK 2.3 — Implementar 'Esqueci a senha',Henriquerssx,CRÍTICA,Gestão de Usuários e Segurança,PVTI_lADOCN1Q084BEMaIzgtFoiA,DI_lADOCN1Q084BEMaIzgKgmmE,Todo,P0,Gestão de Usuários e Segurança,Henriquerssx,
TASK 2.4,[BE] TASK 2.4 — Email de boas-vindas após cadastro,Henriquerssx,ALTA,Gestão de Usuários e Segurança,PVTI_lADOCN1Q084BEMaIzgtFojc,DI_lADOCN1Q084BEMaIzgKgmmI,Todo,P1,Gestão de Usuários e Segurança,Henriquerssx,
TASK 2.5,[BE][FE] TASK 2.5 — Identificador único humano-legível por anúncio,Ludelll,ALTA,Visualização e Navegação de Bens,PVTI_lADOCN1Q084BEMaIzgtFok4,DI_lADOCN1Q084BEMaIzgKgmmM,Todo,P1,Visualização e Navegação de Bens,Ludelll,
TASK 2.6,[BE][FE] TASK 2.6 — Convite admin → consultor (link especial),Henriquerssx,CRÍTICA,Gestão de Usuários e Segurança,PVTI_lADOCN1Q084BEMaIzgtFomQ,DI_lADOCN1Q084BEMaIzgKgmmQ,Todo,P0,Gestão de Usuários e Segurança,Henriquerssx,
TASK 2.7,[BE][FE] TASK 2.7 — Convite consultor → cliente,Henriquerssx,CRÍTICA,Portal do Assessor,PVTI_lADOCN1Q084BEMaIzgtFono,DI_lADOCN1Q084BEMaIzgKgmmU,Todo,P0,Portal do Assessor,Henriquerssx,
TASK 2.8,[BE][FE] TASK 2.8 — Visualização do consultor (clientes e processos),Ludelll,ALTA,Portal do Assessor,PVTI_lADOCN1Q084BEMaIzgtFopQ,DI_lADOCN1Q084BEMaIzgKgmmc,Todo,P1,Portal do Assessor,Ludelll,
TASK 2.9,[BE][FE] TASK 2.9 — Suporte a múltiplos especialistas de carros,C-Icaro,MÉDIA,Gestão de Usuários e Segurança,PVTI_lADOCN1Q084BEMaIzgtFosw,DI_lADOCN1Q084BEMaIzgKgmmg,Todo,P2,Gestão de Usuários e Segurança,C-Icaro,
TASK 2.10,[BE][FE] TASK 2.10 — Especialista desvinculado de escritório (Company),Messias-Olivindo,MÉDIA,Gestão de Usuários e Segurança,PVTI_lADOCN1Q084BEMaIzgtFo1k,DI_lADOCN1Q084BEMaIzgKgmmo,Todo,P2,Gestão de Usuários e Segurança,Messias-Olivindo,
TASK 1.13,"[TEST][FE][BE] TASK 1.13 — Testar fluxo completo de cadastro de usuário (signup ponta-a-ponta)",Ludelll,CRÍTICA,Gestão de Usuários e Segurança,PVTI_lADOCN1Q084BEMaIzgtPtxA,DI_lADOCN1Q084BEMaIzgKg_8k,Todo,P0,Gestão de Usuários e Segurança,Ludelll,
